"Exemplar.1","Exemplar.2","Group","Jaccard"
9,13,"P31M",0.1
9,14,"P31M",0.222
9,15,"P31M",0.1
9,16,"P31M",0.048
9,17,"P31M",0.1
9,18,"P31M",0.1
9,19,"P31M",0.222
9,20,"P31M",0.1
10,11,"P31M",0.1
10,12,"P31M",0.048
10,13,"P31M",0.294
10,14,"P31M",0.158
10,15,"P31M",0.222
10,16,"P31M",0.222
10,17,"P31M",0.158
10,18,"P31M",0.1
10,19,"P31M",0.158
10,20,"P31M",0.294
11,12,"P31M",0.048
11,13,"P31M",0.158
11,14,"P31M",0.222
11,15,"P31M",0.222
11,16,"P31M",0.222
11,17,"P31M",0.1
11,18,"P31M",0.158
11,19,"P31M",0.158
11,20,"P31M",0.1
12,13,"P31M",0.1
12,14,"P31M",0
12,15,"P31M",0.1
12,16,"P31M",0.048
12,17,"P31M",0.1
12,18,"P31M",0.158
12,19,"P31M",0.1
12,20,"P31M",0.048
13,14,"P31M",0.158
13,15,"P31M",0.158
13,16,"P31M",0.222
13,17,"P31M",0.1
13,18,"P31M",0.222
13,19,"P31M",0.158
13,20,"P31M",0.158
14,15,"P31M",0.222
14,16,"P31M",0.222
14,17,"P31M",0.222
14,18,"P31M",0.1
14,19,"P31M",0.1
14,20,"P31M",0.467
15,16,"P31M",0.158
15,17,"P31M",0.1
15,18,"P31M",0.158
15,19,"P31M",0.467
15,20,"P31M",0.158
16,17,"P31M",0.294
16,18,"P31M",0.375
16,19,"P31M",0.158
16,20,"P31M",0.158
17,18,"P31M",0.048
17,19,"P31M",0.158
17,20,"P31M",0.294
18,19,"P31M",0.158
18,20,"P31M",0.048
19,20,"P31M",0.1
1,2,"P6",0.222
1,3,"P6",0.048
1,4,"P6",0.048
1,5,"P6",0.211
1,6,"P6",0
1,7,"P6",0.048
1,8,"P6",0
1,9,"P6",0
1,10,"P6",0.048
1,11,"P6",0.1
1,12,"P6",0.1
1,13,"P6",0.048
1,14,"P6",0.158
1,15,"P6",0.235
1,16,"P6",0.1
1,17,"P6",0.222
