"Group","Exemplar.Row","Exemplar.Col","Jaccard"
"P3M1",10,18,0.158
"P3M1",11,18,0.158
"P3M1",12,18,0.1
"P3M1",13,18,0.1
"P3M1",14,18,0.1
"P3M1",15,18,0
"P3M1",16,18,0.375
"P3M1",17,18,0.1
"P3M1",18,18,1
"P3M1",19,18,0.048
"P3M1",20,18,0
"P3M1",1,19,0.222
"P3M1",2,19,0
"P3M1",3,19,0.1
"P3M1",4,19,0.1
"P3M1",5,19,0.1
"P3M1",6,19,0.375
"P3M1",7,19,0.222
"P3M1",8,19,0.048
"P3M1",9,19,0.158
"P3M1",10,19,0.1
"P3M1",11,19,0.375
"P3M1",12,19,0.048
"P3M1",13,19,0.1
"P3M1",14,19,0.048
"P3M1",15,19,0.375
"P3M1",16,19,0.048
"P3M1",17,19,0.048
"P3M1",18,19,0.048
"P3M1",19,19,1
"P3M1",20,19,0.571
"P3M1",1,20,0.1
"P3M1",2,20,0.158
"P3M1",3,20,0
"P3M1",4,20,0.158
"P3M1",5,20,0.1
"P3M1",6,20,0.294
"P3M1",7,20,0.158
"P3M1",8,20,0.1
"P3M1",9,20,0.1
"P3M1",10,20,0.158
"P3M1",11,20,0.375
"P3M1",12,20,0.1
"P3M1",13,20,0.1
"P3M1",14,20,0.1
"P3M1",15,20,0.467
"P3M1",16,20,0.048
"P3M1",17,20,0.048
"P3M1",18,20,0
"P3M1",19,20,0.571
"P3M1",20,20,1
"P31M",1,1,1
"P31M",2,1,0.375
"P31M",3,1,0.1
"P31M",4,1,0.1
"P31M",5,1,0.222
"P31M",6,1,0.1
"P31M",7,1,0.1
"P31M",8,1,0.222
"P31M",9,1,0.375
"P31M",10,1,0.294
"P31M",11,1,0.294
"P31M",12,1,0.158
"P31M",13,1,0.222
"P31M",14,1,0.1
"P31M",15,1,0.294
"P31M",16,1,0.222
"P31M",17,1,0.375
"P31M",18,1,0.158
"P31M",19,1,0.158
"P31M",20,1,0.158
"P31M",1,2,0.375
"P31M",2,2,1
"P31M",3,2,0.1
"P31M",4,2,0.1
"P31M",5,2,0.222
"P31M",6,2,0.222
"P31M",7,2,0.158
"P31M",8,2,0.158
"P31M",9,2,0.294
"P31M",10,2,0.222
"P31M",11,2,0.222
"P31M",12,2,0.048
"P31M",13,2,0.158
"P31M",14,2,0.158
"P31M",15,2,0.158
"P31M",16,2,0.158
"P31M",17,2,0.048
"P31M",18,2,0.158
"P31M",19,2,0.222
"P31M",20,2,0.1
"P31M",1,3,0.1
"P31M",2,3,0.1
"P31M",3,3,1
"P31M",4,3,0.158
"P31M",5,3,0.222
"P31M",6,3,0.158
"P31M",7,3,0.294
"P31M",8,3,0.158
"P31M",9,3,0.1
"P31M",10,3,0.222
"P31M",11,3,0.294
"P31M",12,3,0.375
"P31M",13,3,0.222
"P31M",14,3,0.294
"P31M",15,3,0.375
"P31M",16,3,0.222
"P31M",17,3,0.375
"P31M",18,3,0.158
"P31M",19,3,0.294
"P31M",20,3,0.294
"P31M",1,4,0.1
"P31M",2,4,0.1
"P31M",3,4,0.158
"P31M",4,4,1
"P31M",5,4,0.158
"P31M",6,4,0.222
"P31M",7,4,0.1
"P31M",8,4,0.158
"P31M",9,4,0.1
"P31M",10,4,0.375
"P31M",11,4,0.158
"P31M",12,4,0.222
"P31M",13,4,0.158
"P31M",14,4,0.158
"P31M",15,4,0.222
"P31M",16,4,0.158
"P31M",17,4,0.222
"P31M",18,4,0.158
"P31M",19,4,0.048
"P31M",20,4,0.158
"P31M",1,5,0.222
"P31M",2,5,0.222
"P31M",3,5,0.222
"P31M",4,5,0.158
"P31M",5,5,1
"P31M",6,5,0.222
"P31M",7,5,0.294
"P31M",8,5,0.1
"P31M",9,5,0.294
"P31M",10,5,0.1
"P31M",11,5,0.222
"P31M",12,5,0.222
"P31M",13,5,0.375
"P31M",14,5,0.294
"P31M",15,5,0.294
"P31M",16,5,0.222
