"Exemplar.Row","Exemplar.Col","Jaccard","Group"
5,11,0.226415094339623,"P1"
5,12,0.245283018867925,"P1"
5,13,0.2,"P1"
5,14,0.2,"P1"
5,15,0.269230769230769,"P1"
5,16,0.245283018867925,"P1"
5,17,0.11864406779661,"P1"
5,18,0.245283018867925,"P1"
5,19,0.157894736842105,"P1"
5,20,0.178571428571429,"P1"
6,7,0.245283018867925,"P1"
6,8,0.157894736842105,"P1"
6,9,0.137931034482759,"P1"
6,10,0.11864406779661,"P1"
6,11,0.226415094339623,"P1"
6,12,0.0819672131147541,"P1"
6,13,0.2,"P1"
6,14,0.137931034482759,"P1"
6,15,0.2,"P1"
6,16,0.137931034482759,"P1"
6,17,0.178571428571429,"P1"
6,18,0.269230769230769,"P1"
6,19,0.178571428571429,"P1"
6,20,0.178571428571429,"P1"
7,8,0.1,"P1"
7,9,0.157894736842105,"P1"
7,10,0.294117647058824,"P1"
7,11,0.120689655172414,"P1"
7,12,0.32,"P1"
7,13,0.137931034482759,"P1"
7,14,0.178571428571429,"P1"
7,15,0.32,"P1"
7,16,0.294117647058824,"P1"
7,17,0.294117647058824,"P1"
7,18,0.222222222222222,"P1"
7,19,0.375,"P1"
7,20,0.245283018867925,"P1"
8,9,0.434782608695652,"P1"
8,10,0.11864406779661,"P1"
8,11,0.25,"P1"
8,12,0.178571428571429,"P1"
8,13,0.157894736842105,"P1"
8,14,0.2,"P1"
8,15,0.1,"P1"
8,16,0.1,"P1"
8,17,0.178571428571429,"P1"
8,18,0.222222222222222,"P1"
8,19,0.137931034482759,"P1"
8,20,0.1,"P1"
9,10,0.222222222222222,"P1"
9,11,0.25,"P1"
9,12,0.157894736842105,"P1"
9,13,0.178571428571429,"P1"
9,14,0.2,"P1"
9,15,0.178571428571429,"P1"
9,16,0.137931034482759,"P1"
9,17,0.269230769230769,"P1"
9,18,0.2,"P1"
9,19,0.178571428571429,"P1"
9,20,0.11864406779661,"P1"
10,11,0.160714285714286,"P1"
10,12,0.222222222222222,"P1"
10,13,0.137931034482759,"P1"
10,14,0.178571428571429,"P1"
10,15,0.346938775510204,"P1"
10,16,0.404255319148936,"P1"
10,17,0.222222222222222,"P1"
10,18,0.0819672131147541,"P1"
10,19,0.269230769230769,"P1"
10,20,0.346938775510204,"P1"
11,12,0.101694915254237,"P1"
11,13,0.226415094339623,"P1"
11,14,0.203703703703704,"P1"
11,15,0.181818181818182,"P1"
11,16,0.120689655172414,"P1"
11,17,0.226415094339623,"P1"
11,18,0.181818181818182,"P1"
11,19,0.0833333333333333,"P1"
11,20,0.181818181818182,"P1"
12,13,0.269230769230769,"P1"
12,14,0.245283018867925,"P1"
12,15,0.269230769230769,"P1"
12,16,0.2,"P1"
12,17,0.157894736842105,"P1"
12,18,0.137931034482759,"P1"
12,19,0.294117647058824,"P1"
12,20,0.245283018867925,"P1"
13,14,0.222222222222222,"P1"
13,15,0.178571428571429,"P1"
13,16,0.137931034482759,"P1"
13,17,0.137931034482759,"P1"
13,18,0.294117647058824,"P1"
13,19,0.178571428571429,"P1"
13,20,0.178571428571429,"P1"
14,15,0.157894736842105,"P1"
14,16,0.2,"P1"
14,17,0.157894736842105,"P1"
14,18,0.178571428571429,"P1"
14,19,0.269230769230769,"P1"
14,20,0.2,"P1"
15,16,0.294117647058824,"P1"
15,17,0.245283018867925,"P1"
15,18,0.178571428571429,"P1"
15,19,0.245283018867925,"P1"
15,20,0.178571428571429,"P1"
16,17,0.32,"P1"
16,18,0.0819672131147541,"P1"
16,19,0.2,"P1"
16,20,0.375,"P1"
17,18,0.0819672131147541,"P1"
17,19,0.2,"P1"
17,20,0.269230769230769,"P1"
18,19,0.1,"P1"
18,20,0.1,"P1"
19,20,0.32,"P1"
1,2,0.11864406779661,"P3M1"
1,3,0.11864406779661,"P3M1"
1,4,0.137931034482759,"P3M1"
1,5,0.1,"P3M1"
1,6,0.137931034482759,"P3M1"
1,7,0.11864406779661,"P3M1"
1,8,0.137931034482759,"P3M1"
1,9,0.137931034482759,"P3M1"
1,10,0.1,"P3M1"
1,11,0.0819672131147541,"P3M1"
1,12,0.157894736842105,"P3M1"
1,13,0.2,"P3M1"
1,14,0.11864406779661,"P3M1"
1,15,0.2,"P3M1"
1,16,0.157894736842105,"P3M1"
1,17,0.137931034482759,"P3M1"
1,18,0.157894736842105,"P3M1"
1,19,0.157894736842105,"P3M1"
1,20,0.0819672131147541,"P3M1"
2,3,0.0819672131147541,"P3M1"
2,4,0.0819672131147541,"P3M1"
2,5,0.157894736842105,"P3M1"
2,6,0.157894736842105,"P3M1"
2,7,0.157894736842105,"P3M1"
2,8,0.2,"P3M1"
2,9,0.137931034482759,"P3M1"
2,10,0.0819672131147541,"P3M1"
2,11,0.11864406779661,"P3M1"
2,12,0.245283018867925,"P3M1"
2,13,0.137931034482759,"P3M1"
2,14,0.137931034482759,"P3M1"
